fes_type,function,generator,score,run_time
short_budget,f2,random,1041865239177014145549861808701412787355648.00,0.11
short_budget,f2,random,145090455841954065915282050826110262795304960.00,0.08
short_budget,f2,random,328505491238180365008433239594899718480592896.00,0.08
short_budget,f2,random,10468738080010237078397774795065419316068352.00,0.08
short_budget,f2,random,275261755224055028455403416380639708165701632.00,0.08
short_budget,f2,random,3893348048612215738454530014252783091318784.00,0.09
short_budget,f2,random,51293117456320331362197234566048716683214848.00,0.10
short_budget,f2,random,157750707756228302565986598462487114335387648.00,0.10
short_budget,f2,random,359907535767226445628965489260625437353050112.00,0.10
short_budget,f2,random,103383869322459670524036134086601871961620480.00,0.09
short_budget,f2,random,429110228139400035597241909124125060419465752084480.00,0.09
short_budget,f2,random,28501298667952673513230935386527741596940632064.00,0.09
short_budget,f2,random,148866982069372495206707335397246949654528.00,0.09
short_budget,f2,random,8268103405945988586363669495167220742881280.00,0.09
short_budget,f2,random,262286026626194967615675941614595531079680.00,0.09
short_budget,f2,random,8388747051312729446719836189051102821351424.00,0.09
short_budget,f2,random,365139916981143867415957771099832169005056.00,0.08
short_budget,f2,random,117650399387831194934795098544344200642560.00,0.09
short_budget,f2,random,1147658002768141189437803406308326883983360.00,0.08
short_budget,f2,random,14385954986979130437774555804112696150851584.00,0.08
short_budget,f2,random,277480299404250704770924807711323571645054976.00,0.11
short_budget,f2,random,1117928262706872220794006118080575866667008.00,0.09
short_budget,f2,random,11900059255924034518913924202988337469849600.00,0.09
short_budget,f2,random,72750673230158314303183778904198769639686144.00,0.09
short_budget,f2,random,54366876496285829685570542881959051264.00,0.09
short_budget,f2,random,1705822442509066144402987920512639794413568.00,0.09
short_budget,f2,random,123318159077517775167508209676513299438501888.00,0.09
short_budget,f2,random,28695816382486997027749893486086392901533696.00,0.09
short_budget,f2,random,53233082164662409113909565845260472418304.00,0.09
short_budget,f2,random,590859423345316073403662555664693067776.00,0.10
short_budget,f2,numpy,632235868245522412962300484887384506236928.00,0.17
short_budget,f2,numpy,563090681332146649995618614172258629903712256.00,0.11
short_budget,f2,numpy,22734793457984768321974367329303866231488512.00,0.11
short_budget,f2,numpy,5385917120661849213784842910521066782720.00,0.09
short_budget,f2,numpy,273350281275936793258064312525077985886208.00,0.12
short_budget,f2,numpy,63310847853414171919069162640355750838272.00,0.10
short_budget,f2,numpy,2028410084236388808674146792615287780802560.00,0.16
short_budget,f2,numpy,217761156946065512087714987981970788564598784.00,0.15
short_budget,f2,numpy,804211917515206104894402980749076963786752.00,0.13
short_budget,f2,numpy,4316942674481927464327584033914584074136059904.00,0.12
short_budget,f2,numpy,560033092784003553292444220895423794801278976.00,0.10
short_budget,f2,numpy,12940447393852018003920815113119215929299828736.00,0.10
short_budget,f2,numpy,10210676120145106469548315892657422336.00,0.11
short_budget,f2,numpy,54544883811557529263709579562493809786880.00,0.11
